variant_id,stop_id
805593,1603
805593,1497
816779,1603
816779,1497
816779,2818
819257,1497
819257,2818
819411,1603
819411,1497
821775,1497
821775,2818
830103,1603
830103,1497
830103,2818
833110,148
833110,1705
835832,3902
836332,1603
836332,1497
836332,2818
836332,5310
836332,1868
836372,1497
836372,2818
836372,5310
836372,1868
836424,4898
836424,1547
836424,3524
836425,3523
836425,1548
836425,4899
836539,4423
836539,3671
836539,3065
836539,1082
836707,3523
836707,3902
836800,480
836800,2035
836800,350
836801,3807
836801,349
836801,1215
836801,481
836804,1215
836804,481
836805,480
836805,2035
836805,350
836805,2010
836806,480
836806,2035
836806,350
837132,2356
837132,5180
837132,1595
837132,2033
837132,1750
837177,3902
837254,1531
837273,1897
837273,2032
837273,4250
837273,2817
837280,1897
837280,2032
837280,4250
837280,2817
837302,1407
837302,1532
837303,1531
837303,1408
837375,526
837375,538
837375,3272
837513,480
837513,347
837513,2666
837513,4401
837513,2010
837522,526
837522,538
837541,3421
837541,2275
837642,3421
837642,2275
837646,5297
837646,1142
837692,575
837692,595
837693,575
837693,555
837693,4892
837695,575
837698,596
837698,1034
837698,1701
837698,575
837698,555
837698,4892
837772,526
837772,538
837802,2276
837802,3415
837876,576
837876,567
837877,582
837877,568
837877,575
837877,4892
838118,494
838219,2818
838219,5310
838219,1868
838351,480
838351,347
838351,2666
838351,4401
838351,2010
838351,864
838645,3421
838645,728
838645,3244
838645,3720
838645,3656
838645,3669
838645,1702
838645,3706
838645,3709
838645,1081
838645,3672
838645,4422
838669,3421
838669,728
838669,3244
838669,3656
838669,3668
838669,1979
838669,3669
838669,3706
838829,4898
838829,1547
838829,3524
839126,3908
839156,148
839156,1705
839160,148
839160,1705
839161,148
839161,1705
839307,1704
839307,149
839310,1704
839310,149
839310,912
839328,3641
839328,3027
839328,4659
839328,2254
839377,603
839377,1061
839377,554
839872,3421
839872,728
839872,3720
839872,4596
839872,3668
839872,1979
839872,3669
839872,3706
839881,4570
839881,5296
839971,539
839971,527
839972,3272
839972,539
839972,527
839988,403
839988,3256
840121,1398
840121,1541
840121,1579
840121,1583
840334,3421
840334,2305
840334,2871
840334,3652
840334,3646
840334,3645
840334,3722
840356,1901
840356,604
840356,708
840356,711
840356,3420
840376,1901
840376,604
840376,708
840376,711
840376,3420
840376,2488
840527,153
840527,148
840527,1705
840528,153
840528,148
840528,1705
840659,5297
840659,4571
840659,869
840668,539
840668,527
840737,4571
840737,869
840737,5123
840737,3517
840738,5296
840753,480
840753,347
840753,2666
840753,4401
840753,2010
840760,568
840793,3412
840793,1306
840793,2863
840793,3900
840793,2527
840803,212
840803,1306
840803,281
840841,603
840841,1061
840841,2880
840896,1408
840982,3908
840983,3902
841004,3908
841062,3421
841062,728
841062,3244
841062,3720
841071,3370
841071,3272
841071,539
841071,4664
841071,838
841161,3889
841161,2251
841162,1015
841162,3888
841162,1705
841165,1704
841165,895
841166,992
841166,1705
841169,148
841170,153
841170,148
841186,1015
841186,3888
841187,148
841202,1704
841202,3889
841202,2251
841202,895
841205,992
841226,3977
841226,992
841226,1705
841411,596
841411,575
841411,555
841458,1542
841458,1418
841458,2031
841481,1407
841568,1542
841568,3523
841568,1548
841568,4899
841784,2011
841784,4827
841784,4389
841784,2665
841784,348
841784,481
841784,509
841791,2341
841791,375
841791,4413
841794,4429
841794,4464
841794,4457
841794,3410
841797,2528
841797,2036
841797,353
841797,4284
841797,4286
841798,812
841798,3861
841798,4458
841798,4115
841798,4709
841798,4481
841798,4678
841798,4461
841798,4746
841800,812
841800,3861
841800,4458
841800,4115
841800,4709
841800,4481
841800,4678
841800,4461
841800,4746
841800,4711
841801,4747
841801,4462
841801,4678
841801,4480
841801,4710
841801,4114
841801,4457
841801,3410
841812,812
841812,3861
841812,4458
841812,4463
841812,4707
841812,4744
841812,4493
841812,4497
841813,4496
841813,4490
841813,4745
841813,4429
841813,4464
841813,4457
841813,3410
841818,3758
841818,1149
841818,4634
841818,4478
841818,4707
841818,4744
841832,992
841832,1015
841832,3888
841832,1705
841833,992
841833,1015
841833,3888
841833,1705
841838,1704
841838,895
841841,3977
841841,992
841841,1015
841841,3888
841841,1705
841853,4423
841853,3671
841853,3065
841853,1082
841853,3710
841853,3707
841853,1703
841853,3670
841853,3683
841853,3720
841853,727
841853,3415
841867,3419
841867,2279
841867,4591
841867,3599
841867,3597
841867,3604
841867,3616
841900,3707
841900,1703
841900,3670
841900,3683
841900,3720
841900,727
841900,3415
841903,3720
841903,3245
841903,727
841903,3415
841917,3598
841917,4590
841917,2506
841917,3421
841917,2305
841917,2871
841917,3652
841917,3646
841917,3036
841917,1979
841917,3669
841917,1702
841917,3706
841917,3588
841917,3666
841917,3722
841918,3667
841918,3707
841918,1703
841918,3668
841918,1731
841918,3037
841918,3647
841918,3653
841918,2899
841918,2274
841918,3419
841918,4591
841918,3599
841921,3667
841921,3707
841921,1703
841921,3668
841921,1731
841921,3037
841921,3647
841921,3653
841921,2899
841921,2274
841921,3415
841922,3598
841922,4590
841922,2506
841922,3415
841923,3419
841923,4591
841923,3599
841924,3721
841924,3644
841924,3036
841924,1731
841924,3037
841924,3647
841924,3653
841924,2899
841924,2274
841924,3415
841925,3721
841925,3644
841925,3036
841925,1731
841925,3037
841925,3647
841925,3653
841925,2899
841925,2274
841925,3419
841925,4591
841925,3599
841926,3598
841926,4590
841926,2506
841926,3421
841926,2305
841926,2871
841926,3652
841926,3646
841926,3036
841926,1731
841926,3037
841926,3645
841926,3722
842013,4747
842013,4429
842013,4479
842013,5455
842013,1865
842013,5274
842022,1497
842022,2818
842022,5310
842022,2031
842047,2818
842047,5310
842047,2031
842056,1531
842101,1249
842101,27
842119,1901
842119,604
842119,708
842119,711
842119,3422
842120,3884
842120,3415
842120,2828
842120,707
842120,603
842120,1900
842120,4892
842122,5274
842122,1759
842122,211
842122,240
842155,891
842155,3547
842155,5288
842155,271
842155,2863
842156,284
842156,2861
842156,1149
842156,1865
842156,5274
842156,1759
842156,1251
842157,5297
842157,4571
842157,3517
842190,3899
842190,1819
842190,2815
842190,317
842190,281
842190,3934
842200,2274
842200,3415
842200,2828
842200,603
842200,4892
842200,1330
842200,2815
842249,2342
842249,2861
842249,1149
842262,5296
842262,271
842262,281
842263,2342
842282,1901
842305,3422
842316,212
842316,3547
842316,5288
842320,5274
842320,1759
842320,211
842320,240
842325,5274
842325,1759
842325,1142
842361,304
842361,2531
842361,5167
842361,5155
842362,3901
842388,812
842388,403
842422,3890
842422,480
842422,2527
842428,3901
842428,281
842446,3899
842446,604
842446,708
842446,711
842446,3421
842446,2305
842446,2871
842450,284
842450,2861
842450,1149
842450,5297
842457,2899
842457,55
842457,5440
842457,2274
842457,2304
842457,3415
842457,2828
842457,707
842509,509
842509,3526
842509,546
842509,613
842509,3895
842527,3514
842527,396
842529,864
842529,3901
842532,1215
842532,481
842540,1215
842540,481
842547,3422
842548,2899
842548,3422
842579,1233
842579,5459
842579,509
842584,575
842584,977
842584,2028
842584,1330
842584,3517
842584,5459
842584,927
842584,3581
842587,5459
842587,927
842588,927
842619,2935
842619,2506
842619,3422
842619,2013
842619,761
842622,2935
842622,2506
