route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,brigade_id,vehicle_id,variant_id
A,3,3_14613060,"KRZYKI",0,842190,21,1,842190
A,3,3_14613109,"KOSZAROWA (Szpital)",1,843361,22,1,843361
A,3,3_14613222,"KOSZAROWA (Szpital)",1,843361,1,2,843361
A,3,3_14613224,"KOSZAROWA (Szpital)",1,843361,1,2,843361
A,3,3_14613226,"KOSZAROWA (Szpital)",1,843361,1,2,843361
A,3,3_14613228,"KOSZAROWA (Szpital)",1,843361,1,2,843361
A,3,3_14613230,"KOSZAROWA (Szpital)",1,843361,1,2,843361
A,3,3_14613232,"KOSZAROWA (Szpital)",1,843361,1,2,843361
A,3,3_14613234,"KOSZAROWA (Szpital)",1,843361,1,2,843361
A,3,3_14613240,"KOSZAROWA (Szpital)",1,843361,2,1,843361
A,3,3_14613242,"KOSZAROWA (Szpital)",1,843361,2,1,843361
A,3,3_14613244,"KOSZAROWA (Szpital)",1,843361,2,1,843361
A,3,3_14613246,"KOSZAROWA (Szpital)",1,843361,2,1,843361
A,3,3_14613248,"KOSZAROWA (Szpital)",1,843361,2,1,843361
A,3,3_14613250,"KOSZAROWA (Szpital)",1,843361,2,1,843361
A,3,3_14613253,"KOSZAROWA (Szpital)",1,843361,3,1,843361
A,3,3_14613255,"KOSZAROWA (Szpital)",1,843361,3,1,843361
A,3,3_14613257,"KOSZAROWA (Szpital)",1,843361,3,1,843361
A,3,3_14613259,"KOSZAROWA (Szpital)",1,843361,3,1,843361
A,3,3_14613261,"KOSZAROWA (Szpital)",1,843361,3,1,843361
A,3,3_14613263,"KOSZAROWA (Szpital)",1,843361,3,1,843361
A,3,3_14613265,"KOSZAROWA (Szpital)",1,843361,3,1,843361
A,3,3_14613268,"KOSZAROWA (Szpital)",1,843361,4,1,843361
A,3,3_14613270,"KOSZAROWA (Szpital)",1,843361,4,1,843361
A,3,3_14613272,"KOSZAROWA (Szpital)",1,843361,4,1,843361
A,3,3_14613274,"KOSZAROWA (Szpital)",1,843361,4,1,843361
A,3,3_14613276,"KOSZAROWA (Szpital)",1,843361,4,1,843361
A,3,3_14613278,"KOSZAROWA (Szpital)",1,843361,4,1,843361
A,3,3_14613280,"KOSZAROWA (Szpital)",1,843361,4,1,843361
A,3,3_14613283,"KOSZAROWA (Szpital)",1,843361,5,1,843361
A,3,3_14613285,"KOSZAROWA (Szpital)",1,843361,5,1,843361
A,3,3_14613287,"KOSZAROWA (Szpital)",1,843361,5,1,843361
A,3,3_14613289,"KOSZAROWA (Szpital)",1,843361,5,1,843361
A,3,3_14613291,"KOSZAROWA (Szpital)",1,843361,5,1,843361
A,3,3_14613293,"KOSZAROWA (Szpital)",1,843361,5,1,843361
A,3,3_14613295,"KOSZAROWA (Szpital)",1,843361,5,1,843361
A,3,3_14613010,"SOŁTYSOWICE",1,843365,23,1,843365
A,3,3_14613251,"Zajezdnia Obornicka",0,843712,2,1,843712
A,3,3_14613266,"Zajezdnia Obornicka",0,843712,3,1,843712
A,3,3_14613281,"Zajezdnia Obornicka",0,843712,4,1,843712
A,3,3_14613008,"KOSZAROWA (Szpital)",1,843713,23,1,843713
A,3,3_14613059,"KOSZAROWA (Szpital)",1,843713,21,1,843713
A,3,3_14613107,"KOSZAROWA (Szpital)",1,843713,22,1,843713
A,3,3_14613238,"KOSZAROWA (Szpital)",1,843713,2,1,843713
A,3,3_14613221,"KRZYKI",0,843714,1,2,843714
A,3,3_14613252,"KRZYKI",0,843714,3,1,843714
A,3,3_14613267,"KRZYKI",0,843714,4,1,843714
A,3,3_14613282,"KRZYKI",0,843714,5,1,843714
A,3,3_14613009,"KRZYKI",0,845050,23,1,845050
A,3,3_14613108,"KRZYKI",0,845050,22,1,845050
A,3,3_14613223,"KRZYKI",0,845050,1,2,845050
A,3,3_14613225,"KRZYKI",0,845050,1,2,845050
A,3,3_14613227,"KRZYKI",0,845050,1,2,845050
A,3,3_14613229,"KRZYKI",0,845050,1,2,845050
A,3,3_14613231,"KRZYKI",0,845050,1,2,845050
A,3,3_14613233,"KRZYKI",0,845050,1,2,845050
A,3,3_14613235,"KRZYKI",0,845050,1,2,845050
A,3,3_14613239,"KRZYKI",0,845050,2,1,845050
A,3,3_14613241,"KRZYKI",0,845050,2,1,845050
A,3,3_14613243,"KRZYKI",0,845050,2,1,845050
A,3,3_14613245,"KRZYKI",0,845050,2,1,845050
A,3,3_14613247,"KRZYKI",0,845050,2,1,845050
A,3,3_14613249,"KRZYKI",0,845050,2,1,845050
A,3,3_14613254,"KRZYKI",0,845050,3,1,845050
A,3,3_14613256,"KRZYKI",0,845050,3,1,845050
A,3,3_14613258,"KRZYKI",0,845050,3,1,845050
A,3,3_14613260,"KRZYKI",0,845050,3,1,845050
A,3,3_14613262,"KRZYKI",0,845050,3,1,845050
A,3,3_14613264,"KRZYKI",0,845050,3,1,845050
A,3,3_14613269,"KRZYKI",0,845050,4,1,845050
A,3,3_14613271,"KRZYKI",0,845050,4,1,845050
A,3,3_14613273,"KRZYKI",0,845050,4,1,845050
A,3,3_14613275,"KRZYKI",0,845050,4,1,845050
A,3,3_14613277,"KRZYKI",0,845050,4,1,845050
A,3,3_14613279,"KRZYKI",0,845050,4,1,845050
A,3,3_14613284,"KRZYKI",0,845050,5,1,845050
A,3,3_14613286,"KRZYKI",0,845050,5,1,845050
A,3,3_14613288,"KRZYKI",0,845050,5,1,845050
A,3,3_14613290,"KRZYKI",0,845050,5,1,845050
A,3,3_14613292,"KRZYKI",0,845050,5,1,845050
A,3,3_14613294,"KRZYKI",0,845050,5,1,845050
A,3,3_14613296,"KRZYKI",0,845050,5,1,845050
A,3,3_14613297,"Zajezdnia Obornicka",1,845767,5,1,845767
A,4,4_14617276,"KRZYKI",0,842190,21,1,842190
A,4,4_14617315,"KOSZAROWA (Szpital)",1,843361,22,1,843361
A,4,4_14617435,"KOSZAROWA (Szpital)",1,843361,1,2,843361
A,4,4_14617437,"KOSZAROWA (Szpital)",1,843361,1,2,843361
A,4,4_14617439,"KOSZAROWA (Szpital)",1,843361,1,2,843361
A,4,4_14617441,"KOSZAROWA (Szpital)",1,843361,1,2,843361
A,4,4_14617443,"KOSZAROWA (Szpital)",1,843361,1,2,843361
A,4,4_14617445,"KOSZAROWA (Szpital)",1,843361,1,2,843361
A,4,4_14617447,"KOSZAROWA (Szpital)",1,843361,1,2,843361
A,4,4_14617453,"KOSZAROWA (Szpital)",1,843361,2,1,843361
A,4,4_14617455,"KOSZAROWA (Szpital)",1,843361,2,1,843361
A,4,4_14617457,"KOSZAROWA (Szpital)",1,843361,2,1,843361
