variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
805593,0,846790,,
816779,0,846790,,
819257,0,846790,,
819411,0,846790,,
821775,0,846790,,
830103,0,846790,,
830741,0,846790,,
833110,0,,,
835434,0,,,
835832,0,841818,,
836332,1,,,
836372,0,,,
836424,0,846790,,
836425,0,841818,,
836539,0,,,
836707,0,841818,,
836800,1,,,
836801,1,,,
836804,0,,,
836805,0,,,
836806,0,,,
837132,1,,,
837177,0,841818,,
837254,0,846790,,
837273,1,,,
837280,0,841818,,
837298,0,846790,,
837302,0,841818,,
837303,0,846790,,
837375,0,,,
837513,1,,,
837522,1,,,
837541,1,,,
837642,0,,,
837646,0,846790,,
837692,1,,,
837693,1,,,
837695,0,,,
837698,0,,,
837772,0,,,
837802,0,,,
837815,0,846790,,
837876,1,,,
837877,1,,,
838118,0,,,
838219,0,846790,,
838351,0,,,
838645,1,,,
838669,0,,,
838829,0,846790,,
839058,0,,,
839126,0,846790,,
839156,1,,,
839160,0,,,
839161,0,,,
839307,1,,,
839310,0,,,
839328,0,,,
839377,0,,,
839872,0,,,
839881,1,,,
839971,0,,,
839972,0,,,
839988,0,,,
840121,1,,,
840334,0,,,
840356,1,,,
840376,0,,,
840527,0,,,
840528,0,,,
840659,1,,,
840668,1,,,
840737,0,,,
840738,0,841818,,
840753,0,,,
840760,0,,,
840793,0,,,
840803,0,846790,281,
840841,0,,,
840865,0,846790,,
840896,0,846790,,
840982,0,846790,,
840983,0,841818,,
841004,0,846790,,
841062,0,,,
841071,1,,,
841161,1,,,
841162,1,,,
841165,1,,,
841166,1,,,
841169,0,,,
841170,0,,,
841186,0,,,
841187,0,,,
841202,0,,,
841205,0,,,
841226,1,,,
841411,0,,,
841458,1,,,
841481,0,841818,,
841568,1,,,
841784,1,,,
841791,1,,,
841794,1,,,
841797,0,,,
841798,0,,,
841800,0,,,
841801,0,,,
841812,0,,,
841813,0,,,
841818,1,,,
841832,0,,,
841833,0,,,
841838,1,,,
841841,0,,,
841853,1,,,
841867,0,,,
841900,0,,,
841903,0,,,
841917,1,,,
841918,1,,,
841921,0,,,
841922,0,,,
841923,0,,,
841924,0,,,
841925,0,,,
841926,0,,,
842013,0,,,
842022,1,,,
842047,0,846790,,
842056,0,846790,,
842101,1,,,
842119,1,,,
842120,1,,,
842122,1,,,
842155,1,,,
842156,1,,,
842157,1,,,
842190,0,,,
842200,0,,,
842249,0,846790,,
842262,0,841818,,
842263,0,,,
842282,0,,,
842305,0,,,
842316,0,841818,,
842320,0,,,
842325,0,846790,,
842361,0,,,
842362,0,,,
842365,0,,,
842370,0,,,
842388,0,,,
842422,0,,,
842428,0,,,
842446,0,,,
842449,0,841818,,
842450,0,846790,,
842457,0,,,
842509,0,,,
842527,0,,,
842529,0,846790,,
842532,0,,,
842540,0,,,
842547,0,,,
842548,0,,,
842579,0,,,
842584,0,,,
842587,0,,,
842588,0,,,
842619,1,,,
842622,0,,,
842634,1,,,
842637,1,,,
842649,0,841818,,
842665,0,841818,,
842682,0,841818,,
842683,0,841818,,
842686,0,846790,,
842720,0,,,
842722,0,,,
842724,0,,,
842768,0,,,
842769,0,,,
842907,1,,,
842990,1,,,
842991,1,,,
842995,0,,,
842996,0,,,
842997,0,,,
842998,0,,,
843000,0,,,
843001,0,,,
843023,1,,,
843039,1,,,
843045,0,,,
843046,0,,,
843047,0,846790,,
843060,0,841818,,
843082,0,,,
843083,0,,,
843084,0,,,
843085,0,,,
843086,0,846790,,
843087,0,846790,,
843097,0,,,
843110,0,841818,,
843111,0,841818,,
843128,0,,,
843133,0,846790,,
843134,0,846790,,
843136,0,841818,,
843141,0,846790,,
843161,1,,,
843209,0,,,
843281,1,,,
843282,1,,,
843300,0,,,
843303,0,841818,,
843304,0,846790,,
843329,0,,,
843332,1,,,
843333,1,,,
843338,0,,,
843359,0,,,
843361,1,,,
843362,1,,,
843365,0,,,
843371,0,,,
843372,0,,,
843402,1,,,
843407,1,,,
843410,1,,,
843413,0,,,
843414,0,,,
843417,0,841818,,
843421,0,,,
843424,0,,,
843425,0,846790,,
843430,0,841818,,
843449,0,846790,,
843450,0,846790,,
843451,0,841818,,
843452,0,841818,,
843454,0,841818,,
843455,0,841818,,
843456,0,841818,,
843458,0,846790,,
843482,0,,,
843483,0,,,
843484,0,,,
843485,0,,,
843487,0,,,
843490,0,,,
843509,0,,,
843604,1,,,
843620,0,,,
843693,1,,,
843708,1,,,
843712,0,846790,,
843713,0,841818,,
843714,0,846790,281,
843715,0,846790,,
843716,0,846790,,
843717,0,846790,,
843719,0,841818,,
843720,0,841818,,
843726,0,,,
843733,0,841818,,
843735,0,846790,,
843746,0,846790,,
843749,0,841818,,
843750,0,846790,,
843755,0,846790,,
843760,0,841818,,
843764,0,846790,,
843765,0,846790,,
843772,0,846790,,
843774,0,,,
843778,0,,,
843779,0,,,
843788,0,841818,,
843789,0,846790,,
843790,0,846790,,
843808,0,841818,,
843809,0,846790,,
843820,0,841818,,
843821,0,846790,,
843825,0,846790,,
843826,0,846790,,
843831,0,846790,,
843832,0,841818,,
843833,0,841818,,
843834,0,846790,,
843835,0,841818,,
843836,0,841818,,
843837,0,846790,,
843838,0,841818,,
843839,0,846790,,
843840,0,846790,,
843855,0,841818,,
843856,0,846790,,
843859,0,846790,,
843864,0,841818,,
843865,0,846790,,
843868,0,841818,,
843869,0,846790,,
843871,0,846790,,
843872,0,841818,,
843873,0,841818,,
843874,0,846790,,
843876,0,841818,,
843882,0,846790,,
843887,0,841818,,
843892,0,841818,,
843893,0,846790,,
843895,0,846790,,
843918,0,841818,,
843920,0,846790,,
843921,0,,,
843931,0,841818,,
843932,0,846790,,
843946,0,846790,,
843947,0,846790,,
843949,0,,,
843950,0,846790,,
843954,0,841818,,
843955,0,846790,,
843971,0,841818,,
843973,0,846790,,
843977,0,841818,,
844011,1,,,
844020,0,,,
844022,1,,,
844024,1,,,
844030,0,,,
844031,0,,,
844035,0,,,
844056,0,,,
844058,0,,,
844059,0,,,
844060,0,,,
844061,0,,,
844074,1,,,
844078,1,,,
844084,0,,,
844107,0,841818,,
844156,1,,,
844196,0,,,
844197,0,,,
844199,1,,,
844209,0,841818,,
844212,0,,,
844215,0,,,
844227,0,,,
844235,0,,,
844263,0,841818,,
844342,0,841818,,
844350,1,,,
844351,0,841818,,
844357,0,,,
844361,0,846790,,
844381,1,,,
844382,1,,,
844383,1,,,
844387,0,,,
844388,0,,,
844389,0,,,
844390,0,,,
844391,0,,,
844392,0,,,
844396,0,,,
844402,1,,,
844414,1,,,
844430,0,846790,,
844438,0,,,
844442,0,,,
844455,0,,,
844456,0,,,
844558,0,,,
844559,0,,,
844560,0,841818,,
844563,0,,,
844564,0,846790,,
844566,0,846790,,
844568,0,841818,,
844604,0,,,
844605,0,,,
844606,0,,,
844616,0,,,
844619,0,,,
844634,0,,,
844635,0,,,
844663,1,,,
844666,1,,,
844708,1,,,
844714,1,,,
844715,1,,,
844716,1,,,
844717,1,,,
844718,1,,,
844720,1,,,
844731,1,,,
844739,0,,,
844740,0,,,
844741,0,,,
844742,0,,,
844743,0,,,
844744,0,846790,,
844745,0,841818,,
844750,0,,,
844751,0,,,
844752,0,,,
844753,0,,,
844755,0,,,
844756,0,,,
844757,0,846790,,
844759,0,,,
844761,0,841818,,
844762,0,841818,,
844763,0,841818,,
844777,0,841818,,
844779,0,,,
844785,0,841818,,
844787,0,,,
844789,0,,,
844790,0,,,
844792,0,841818,,
844800,0,841818,,
844808,1,,,
844809,1,,,
844810,1,,,
844814,1,,,
844816,1,,,
844817,1,,,
844819,1,,,
844820,1,,,
844826,0,841818,,
844830,0,,,
844831,0,,,
844832,0,846790,,
844836,0,,,
844843,0,846790,,
844844,0,846790,,
844847,0,,,
844849,0,,,
844860,0,841818,,
845045,1,,,
845046,1,,,
845047,1,,,
845048,1,,,
845049,1,,,
845050,1,,,
845051,1,,,
845053,1,,,
845056,1,,,
845059,1,,,
845061,1,,,
845062,0,,,
845064,0,841818,,
845069,0,846790,,
845070,0,,,
845076,0,,,
845077,0,846790,,
845084,0,,,
845085,0,846790,,
845090,0,846790,,
845091,0,841818,,
845092,0,,,
845093,0,,,
845094,0,841818,,
845103,0,846790,,
845109,0,,,
845120,0,,,
845121,0,841818,,
845122,0,,,
845123,0,,,
845127,0,841818,,
845128,0,,,
845129,0,,,
845135,0,841818,,
845236,0,841818,,
845243,1,,,
845244,1,,,
845245,1,,,
845247,1,,,
845248,1,,,
845251,1,,,
845252,1,,,
845253,1,,,
845257,1,,,
845261,1,,,
845265,0,,,
845266,0,,,
845271,0,841818,,
845272,0,846790,,
845273,0,846790,,
845274,0,,,
845279,0,841818,,
845287,0,,,
845289,0,,,
845291,0,,,
845292,0,846790,,
845297,0,846790,,
845298,0,841818,,
845301,0,846790,,
845302,0,,,
845303,0,,,
845304,0,,,
845305,0,,,
845306,0,841818,,
845310,0,,,
845311,0,,,
845313,0,841818,,
845315,0,,,
845316,0,841818,,
845317,0,,,
845318,0,,,
845319,0,,,
845320,0,841818,,
845321,0,,,
845325,0,846790,,
845326,0,,,
845328,0,,,
845329,0,,,
845331,0,,,
845332,0,841818,,
845333,0,,,
845336,0,,,
845337,0,846790,,
845338,0,841818,,
845347,1,,,
845349,0,,,
845379,1,,,
845407,0,841818,,
845408,0,841818,,
845416,0,,,
845417,0,,,
845428,1,,,
845463,0,,,
845465,0,,,
845466,0,,,
845467,0,,,
845485,1,,,
845489,1,,,
845490,1,,,
845491,1,,,
845495,1,,,
845499,1,,,
845504,1,,,
845519,0,846790,,
845542,0,841818,,
845544,0,841818,,
845567,0,841818,,
845582,0,846790,,
845586,0,846790,,
845629,1,,,
845649,0,,,
845655,1,,,
845661,1,,,
845676,0,846790,,
845677,0,846790,,
845687,0,841818,,
845690,0,846790,,
845696,1,,,
845697,1,,,
845698,1,,,
845699,1,,,
845700,1,,,
845701,1,,,
845702,1,,,
845703,0,,,
845704,0,,,
845705,0,,,
845707,0,,,
845708,0,,,
845710,0,,,
845711,0,,,
845712,0,,,
845713,0,,,
845714,0,,,
845715,0,,,
845716,0,,,
845717,0,,,
845719,0,,,
845723,0,,,
845725,0,,,
845726,0,,,
845728,0,,,
845729,0,,,
845730,0,,,
845732,0,,,
845733,0,,,
845735,0,,,
845736,0,,,
845737,0,,,
845738,0,,,
845739,0,,,
845741,0,,,
845745,1,,,
845746,1,,,
845747,0,,,
845748,0,,,
845749,0,,,
845750,0,,,
845751,0,,,
845752,0,,,
845753,0,,,
845757,1,,,
845758,1,,,
845761,1,,,
845767,0,841818,,
845768,0,841818,,
845770,0,846790,,
845772,0,841818,,
845773,0,841818,,
845774,0,,,
845775,0,,,
845776,0,841818,,
845780,0,846790,,
845782,0,841818,,
845783,0,841818,,
845784,0,846790,,
845785,0,,,
845786,0,,,
845787,0,841818,,
845789,0,846790,,
845790,0,846790,,
845791,0,,,
845795,0,846790,,
845796,0,846790,,
845806,0,846790,,
845807,0,846790,,
845808,0,846790,,
845813,0,846790,,
845814,0,846790,,
845815,0,841818,,
845818,0,846790,,
845820,0,841818,,
845821,0,846790,,
845830,1,,,
845831,1,846790,,
845832,0,846790,,
845836,0,,,
845837,0,,,
845839,1,,,
845840,1,,,
845842,1,,,
845845,0,,,
845846,0,,,
845847,0,,,
845848,0,,,
845850,0,,,
845852,0,,,
845854,0,,,
845865,1,,,
845866,1,,,
845869,1,,,
845870,1,,,
845871,1,,,
845872,1,,,
845878,0,841818,,
845880,0,,,
845899,0,,,
845901,0,846790,,
845903,0,,,
845904,0,841818,,
845906,0,,,
845908,0,,,
845909,0,846790,,
845910,0,,,
845913,0,846790,,
845914,0,,,
845915,0,,,
845916,0,,,
845917,0,846790,,
845918,0,846790,,
845919,0,841818,,
845922,0,841818,,
845929,1,,,
845930,1,,,
845931,1,,,
845932,1,,,
845935,1,,,
845936,1,,,
845942,0,841818,,
845943,0,841818,,
845944,0,846790,,
845949,0,,,
845950,0,,,
845951,0,841818,,
845953,0,846790,,
845958,0,841818,,
845960,0,,,
845964,0,,,
845971,1,,,
845974,1,,,
845975,1,,,
845978,1,,,
845979,1,,,
845980,1,,,
845981,1,,,
845982,1,,,
845983,1,,,
845993,0,841818,,
845994,0,841818,,
846002,0,846790,,
846006,0,841818,,
846008,0,841818,,
846009,0,841818,,
846010,0,846790,,
846020,0,846790,,
846022,0,846790,,
846023,0,846790,,
846031,0,846790,,
846038,0,846790,,
846040,0,846790,,
846044,0,841818,,
846047,0,841818,,
846050,0,841818,,
846053,0,846790,,
846055,0,841818,,
846056,0,841818,,
846059,0,841818,,
846062,0,841818,,
846066,0,841818,,
846068,0,841818,,
846077,0,,,
846079,0,841818,,
846080,0,846790,,
846084,0,841818,,
846086,0,841818,,
846088,0,841818,,
846090,0,846790,,
846099,0,841818,,
846111,0,841818,,
846116,0,846790,,
846156,1,,,
846157,1,,,
846158,1,,,
846159,0,,,
846160,0,,,
846161,0,,,
846162,0,,,
846164,0,,,
846240,0,846790,,
846277,0,841818,,
846278,0,841818,,
846279,0,841818,,
846280,0,846790,,
846281,0,841818,,
846282,0,841818,,
846285,0,841818,,
846289,0,,,
846297,0,,,
846304,0,841818,,
846305,0,846790,,
846312,0,846790,,
